emp_no,last_name,first_name,hire_date
11614,Peha,Moni,3/8/86
11621,Baaleh,Ottavia,11/17/86
11638,Falco,JoAnne,3/30/86
11660,Stenning,Gill,11/22/86
11669,Anguita,Leah,4/7/86
11671,Babu,Pranjal,12/31/86
11675,Pettit,Slavian,10/7/86
11682,Zumaque,Dante,11/27/86
11684,Gide,Oksana,2/21/86
11687,Peak,Owen,1/13/86
11689,Thisen,Jixiang,12/26/86
11710,Hatcliff,Rajmohan,9/5/86
11716,Leijenhorst,Anneli,4/17/86
11738,Lichtman,Tadahiro,6/19/86
11740,Pero,Isaac,9/3/86
11747,Kossowski,Aksel,2/20/86
11776,Zaccaria,Giordano,11/5/86
11788,Gopalakrishnan,Georgy,10/3/86
11799,Silva,Duro,3/3/86
11804,Rusterholz,Bikash,9/16/86
11808,Rosiles,Morrie,5/17/86
11815,Sommen,Akemi,4/12/86
11817,Markovitch,Niranjan,4/12/86
11830,Snedden,Maya,7/15/86
11832,Zlotek,Arto,10/16/86
11840,Hofman,Jayson,12/21/86
11857,Farrag,Divier,8/27/86
11921,Benner,Yaghout,3/4/86
11927,Aingworth,Mana,4/26/86
11941,Cyre,Gaurav,1/31/86
11976,Barvinok,Jacqueline,10/8/86
11983,Hedayat,Jaana,10/11/86
11993,Dalphin,Marit,6/25/86
11995,Comyn,Lenore,7/26/86
11999,Rabehasaina,Apostol,1/16/86
12004,Schlenzig,Lucien,10/13/86
12019,Ossenbruggen,Mads,2/17/86
12029,Nourani,Jaana,7/10/86
12032,Etalle,Oguz,1/21/86
12036,Ratzlaff,Mads,9/5/86
12037,Katzenelson,Arunas,10/1/86
12049,Covnot,Guadalupe,12/7/86
12052,Khasidashvili,Masako,4/7/86
12056,Genther,Nirmal,7/31/86
12057,Speckmann,Vishv,10/12/86
12064,Silva,Heping,3/14/86
12067,Kalsbeek,Doowon,6/24/86
12082,Yamaashi,Xinan,1/29/86
12085,Rouquie,Hugh,7/3/86
12087,Jumpertz,Weijing,8/16/86
12089,Socorro,Bilhanan,10/22/86
12100,Beznosov,Nevio,11/24/86
12112,Avouris,Satyanarayana,5/24/86
12113,DeMori,Larisa,7/29/86
12120,Schrift,Eckart,6/20/86
12121,Vendrig,Gadiel,3/2/86
12124,Schaaf,Jingling,6/29/86
12128,Barreiro,Yannik,1/29/86
12131,Fandrianto,Gregory,10/11/86
12145,Peir,Xiong,7/14/86
12154,Snedden,Aksel,5/24/86
12173,Nanard,Adel,6/24/86
12198,Huxford,Shai,5/4/86
12204,Mattern,Menkae,1/5/86
12205,Rossi,Sushant,4/14/86
12207,Menyhert,Radoslaw,6/8/86
12211,Lores,Macha,12/26/86
12212,Radhakrishnan,Atilio,8/24/86
12222,Holburn,Abdelwaheb,9/1/86
12223,Koyama,Niteen,8/13/86
12225,Narahara,Yongqiao,6/15/86
12255,Hoogerwoord,Pasqua,12/8/86
12268,Kragelund,Nidapan,11/28/86
12271,Krychniak,Sugwoo,8/15/86
12276,Lenart,Yongmin,8/12/86
12288,Bodoff,Paddy,4/25/86
12301,Akazan,Oksana,12/5/86
12306,Menyhert,Suvo,5/18/86
12313,Narahari,Tsutomu,10/21/86
12315,Binding,Haldun,12/26/86
12327,Bruckman,DAIDA,10/16/86
12347,Ranze,Remko,3/23/86
12359,Yetto,Tokuyasu,4/1/86
12374,Berstel,Ult,7/1/86
12376,Matzen,Kwangsub,11/11/86
12393,Uhrig,Soenke,7/7/86
12411,Ibel,Shao,8/17/86
12415,Sluis,Uri,10/25/86
12420,Rande,Douadi,11/12/86
12444,Reinhard,Monique,12/10/86
12445,Mahmud,Luisa,2/1/86
12451,Marzano,Pramod,11/26/86
12454,Farris,Kerryn,9/10/86
12461,Silva,Tesuro,7/4/86
12462,Schmittgen,Zhenhua,12/31/86
12464,Milicic,Shai,8/18/86
12489,Munck,Arnould,4/11/86
12501,Matheson,Morrie,6/5/86
12512,Remmele,Zissis,7/25/86
12535,Bergere,Kazuhiko,3/16/86
12544,Hartvigsen,Kankanahalli,11/23/86
12560,Makinen,Leszek,5/19/86
12572,McConalogue,Sungwon,7/20/86
12578,Perin,Tamiya,7/28/86
12580,Journel,Pramod,12/29/86
12596,Roisin,Breannda,4/25/86
12600,Garrabrants,Lucian,9/23/86
12624,Zykh,Zhongwei,1/25/86
12638,Seiwald,Yuqun,7/1/86
12650,Demke,Odoardo,5/22/86
12653,Kaelbling,Hitomi,10/7/86
12654,Tagansky,Zhaofang,7/24/86
12661,Lung,Berry,7/27/86
12663,Stellhorn,Nobuyoshi,9/29/86
12690,Mitchem,Valter,9/13/86
12693,Demke,Patricia,3/3/86
12695,Crelier,Lubomir,7/23/86
12697,Brizzi,Uri,7/11/86
12705,Driscoll,Dung,8/7/86
12711,Jiafu,Yechiam,11/21/86
12713,Demir,Byong,4/3/86
12718,Kamber,Susanne,8/23/86
12723,Baez,Arvin,6/14/86
12734,Frijda,Gil,3/3/86
12736,Tempesti,Prasadram,11/9/86
12760,Tomescu,Sergi,10/19/86
12775,Berendt,Mariangiola,2/6/86
12779,Birrer,Miomir,1/5/86
12782,Pietracaprina,Weidon,8/23/86
12787,Shanbhogue,Bezalel,12/16/86
12790,Perl,Gunilla,4/22/86
12795,Fordan,Masoud,10/11/86
12809,Gargeya,Huei,1/15/86
12819,Gubsky,Mountaz,11/30/86
12838,Avouris,Danel,9/24/86
12852,Baranowski,Karlis,3/16/86
12866,Argence,Jaroslava,10/4/86
12872,Schmittgen,Marl,9/9/86
12879,Eugenio,Baruch,5/14/86
12888,Erni,Martien,5/7/86
12891,Ozeki,Ibibia,11/9/86
12896,Delgrande,Mircea,10/29/86
12916,Gihr,Lijie,4/4/86
12933,Kranzdorf,Youjian,5/19/86
12935,Sudkamp,Shuzo,3/24/86
12937,Cincotta,Arup,1/26/86
12941,Perelgut,Tommaso,11/6/86
12954,Walston,Dinkar,5/8/86
12961,Rosch,Guther,8/11/86
12970,Bellmore,Sadun,8/6/86
12971,Gladwell,Tetsurou,6/21/86
12974,Frolund,Gift,10/24/86
12993,Sessa,Subhash,8/25/86
13005,Kobara,Gilbert,12/8/86
13006,Spelt,Jolita,11/7/86
13014,Budinsky,Gianluca,1/21/86
13016,Figueira,Fuqing,6/2/86
13037,Schaad,Alagu,9/2/86
13040,Berendt,Danny,7/7/86
13041,Zucker,Kazuhide,5/21/86
13053,Carrera,Randy,12/23/86
13062,Baak,Xinglin,11/25/86
13068,Magalhaes,Aksel,7/18/86
13075,Morrin,Rosella,8/17/86
13094,Servieres,Sanjay,1/1/86
13098,Fiutem,Lijie,2/26/86
13105,Carrere,Zito,1/19/86
13106,Dahlbom,Soenke,12/6/86
13123,Miake,Hatem,10/10/86
13156,Millington,Akeel,12/29/86
13162,Goodrum,Shaw,12/18/86
13170,Bernardeschi,Cheong,5/7/86
13178,Itschner,Kankanahalli,1/10/86
13186,Barbanera,Kyoichi,4/29/86
13193,Miyakawa,Shimshon,9/5/86
13194,Oberman,Aleksandar,8/9/86
13195,Baak,Toshiki,3/2/86
13198,McAlpine,Nevin,12/21/86
13199,Bergere,Gunilla,4/17/86
13202,Scharstein,Aram,3/29/86
13210,Klassen,Jianhua,9/19/86
13219,Constantine,Wojceich,8/12/86
13232,Fujisaki,Mitchel,6/2/86
13243,Huxford,Fay,12/17/86
13257,Poehlman,Francoise,7/12/86
13264,Hofting,Oguz,8/23/86
13274,Anguita,Valery,10/1/86
13276,Seuren,Yechiam,3/9/86
13278,Denos,Chenxi,6/11/86
13281,Wursthorn,Luerbio,10/7/86
13283,Liedekerke,Unal,10/19/86
13286,Smailagic,Basem,11/9/86
13291,Stamatiou,Georg,10/30/86
13298,Shokrollahi,Sasan,11/6/86
13299,Butner,Guiseppe,7/17/86
13300,Denis,Mountaz,8/28/86
13323,Danecki,Baruch,12/30/86
13334,Wroclawski,Kwangsub,4/10/86
13341,Doering,Bodh,3/11/86
13363,Straney,Temple,2/19/86
13371,Riexinger,Nakhoon,7/29/86
13385,Buchter,Claudi,6/10/86
13386,Sgarro,Khosrow,2/23/86
13398,Valette,Fuqing,3/10/86
13405,Baba,Randy,9/18/86
13408,Lagarias,Sreekrishna,4/26/86
13415,Speer,Nathalie,1/1/86
13430,Jakobus,Irene,2/5/86
13431,Sidje,Danco,10/27/86
13432,Armand,Masadi,9/14/86
13445,Dehkordi,Renee,4/14/86
13450,Hennebert,Nectarios,3/15/86
13451,Weiland,Gretta,8/23/86
13457,Parfitt,Shooichi,1/18/86
13464,Jeansoulin,Chanjung,8/7/86
13473,Bruckman,Mooi,12/16/86
13477,Karlin,Reuven,1/14/86
13483,Ananiadou,Arco,2/16/86
13484,Setlzner,Kristina,11/10/86
13485,Perly,Isamu,8/22/86
13488,Krohm,Zhiwei,2/9/86
13490,Theuretzbacher,Sadegh,4/27/86
13501,Peek,Caolyn,7/26/86
13504,Mandell,Parto,12/21/86
13508,Shackell,Kazuyasu,5/9/86
13511,Pocchiola,Qiwen,8/12/86
13529,Matzen,Toshimori,7/6/86
13531,Sluis,Shuichi,1/4/86
13535,Schlenzig,Arunas,5/19/86
13543,Garigliano,Tua,7/28/86
13560,Jeong,Sibyl,7/28/86
13562,Cooley,Mary,2/24/86
13570,Perez,Kiyomitsu,3/15/86
13572,Beutelspacher,Honglan,9/15/86
13576,Engberts,Jungsoon,8/22/86
13590,Showalter,Sashi,3/14/86
13601,Feldhoffer,Lillian,7/15/86
13604,Stille,Tzu,3/3/86
13615,Marrevee,Sugwoo,7/14/86
13621,Haddadi,Fei,8/24/86
13639,Zeilberger,Marie,10/20/86
13641,Georgatos,Chandrasekaran,12/16/86
13652,Ramsak,Eldridge,1/30/86
13656,Ferretti,Oldrich,4/9/86
13669,Peng,Hidde,1/24/86
13677,Hiyoshi,Masasuke,3/21/86
13704,Kumaresan,Vishu,5/3/86
13714,Lalonde,Kirk,5/26/86
13715,Range,Licheng,11/3/86
13718,Gronowski,Lein,11/22/86
13728,Swab,Insup,1/3/86
13732,Hutter,Danae,2/12/86
13757,Demir,Soenke,2/22/86
13766,Heemskerk,Tremaine,8/18/86
13768,Lovengreen,Sedat,11/19/86
13769,Trogemann,Yakichi,10/24/86
13789,Ranst,Ramalingam,3/4/86
13795,Gewali,Mayuri,8/4/86
13801,Mayerwieser,Shih,3/8/86
13808,Stentiford,Becky,3/8/86
13809,Basagni,Kiyotoshi,1/12/86
13825,Pell,Arlette,8/2/86
13833,Grospietsch,Sumali,9/23/86
13841,Spinelli,Christophe,1/9/86
13850,Kroft,Hyuckchul,2/27/86
13853,Roohalamini,Mingsen,6/2/86
13855,Argence,Zhensheng,9/5/86
13864,Attimonelli,Gladys,1/31/86
13868,Rosin,Lidong,7/4/86
13871,Plavsic,Anoosh,3/25/86
13906,Dalton,Serif,8/10/86
13916,Wynblatt,Vidya,6/6/86
13938,Lueh,Rosella,4/15/86
13947,Nishimukai,Gal,6/18/86
13957,Chelton,Angus,4/18/86
13960,Hettesheimer,Nechama,1/22/86
13970,Passafiume,Howell,4/21/86
13979,Highland,Turgut,6/8/86
13982,Vieri,Marsja,5/31/86
14010,Preusig,Sushant,5/21/86
14016,Alencar,Shimshon,6/23/86
14081,Fontet,Alain,1/13/86
14083,Figueira,Sashi,4/13/86
14094,Gajiwala,Masaru,11/8/86
14104,Demian,Sudhanshu,1/2/86
14107,Rindone,Xiahua,9/4/86
14116,Wilfing,Yuguang,7/10/86
14124,Bennis,Mohammad,7/7/86
14133,Demri,Gou,8/24/86
14134,Peek,Leen,11/1/86
14136,Chappelet,Vasilii,5/6/86
14151,Esposito,Mariangiola,11/30/86
14171,Garnham,Gift,1/10/86
14184,Barvinok,Nalini,8/24/86
14192,Kroha,Ayakannu,8/15/86
14202,Marciano,Shooichi,12/5/86
14224,Conta,Guther,1/30/86
14237,Gerlach,Abdulla,6/13/86
14258,Rothenberg,Haldun,2/4/86
14260,Aloia,Arlette,11/26/86
14265,Roison,Jaber,1/6/86
14271,Bernatsky,Rosita,4/7/86
14298,Granlund,Chriss,12/15/86
14299,Kitsuregawa,Manu,8/5/86
14309,Speek,Aron,10/21/86
14313,Muntz,Armond,6/1/86
14314,Fujisaki,Baziley,7/24/86
14320,Schaar,Sreenivas,6/30/86
14322,Kakkad,Shem,10/23/86
14333,Pettey,Alois,1/15/86
14362,Kleiser,Michaela,9/30/86
14374,Tomescu,Berthier,3/20/86
14417,Aloisi,Shrikanth,5/14/86
14427,Percebois,Duangkaew,8/23/86
14439,Woycyznski,Raimond,11/1/86
14447,Denos,Prodip,10/22/86
14449,Muntz,Isaac,11/8/86
14459,Boreale,Aruna,12/6/86
14461,Hitomi,Weicheng,4/20/86
14466,Rande,Fumiko,11/25/86
14474,Ferretti,Taiji,8/25/86
14479,Suessmith,Thodoros,6/14/86
14483,Marrevee,Supot,1/30/86
14486,Birdsall,Indrajit,7/13/86
14493,Nannarelli,Shuichi,4/4/86
14512,Lupu,Oldrich,5/23/86
14516,Underwood,Kristian,11/26/86
14518,Peir,Patricia,7/6/86
14537,Engelmann,Babette,6/2/86
14540,Hebden,Khosrow,11/7/86
14551,Sinitsyn,Richard,1/5/86
14552,Snyers,Ibibia,9/12/86
14587,Vural,Guangming,11/29/86
14603,Marquardt,Lech,1/19/86
14609,Picel,Bartek,8/29/86
14621,Wixon,Souichi,4/15/86
14648,Lorys,IEEE,11/16/86
14649,Parfitt,Nigel,6/12/86
14650,Georg,Yuqun,10/4/86
14652,Jayawardene,Dannz,3/31/86
14666,Strooper,Rosalie,10/28/86
14671,Perri,Elliott,11/28/86
14683,Basart,Alois,12/2/86
14690,Bellone,Yechezkel,2/25/86
14691,Bolsens,Ulf,4/7/86
14693,Stranks,Brewster,5/5/86
14695,Cromarty,Udo,1/4/86
14701,Nittel,Kwee,8/12/86
14706,Guting,Hatem,6/7/86
14712,Bauknecht,Atreyi,8/31/86
14724,Lemarechal,Aron,9/10/86
14728,Cichocki,Serap,7/9/86
14734,Danner,Uri,9/10/86
14747,Leppanen,Toong,2/1/86
14762,Bolotov,Kayoko,8/15/86
14780,Bruckman,Marlo,9/19/86
14781,Rissland,Huican,7/13/86
14788,Vigier,Eishiro,11/27/86
14795,Merkl,Dung,7/4/86
14799,Ponthieu,Mrinalini,6/7/86
14824,Luby,Jeane,4/7/86
14829,Wilharm,Bojan,8/1/86
14836,Paludetto,Chiradeep,7/3/86
14839,Cronin,Changho,11/13/86
14843,Swick,Yaghout,6/23/86
14844,Rabejac,Mats,10/22/86
14845,Homond,Theron,1/1/86
14849,Ashish,Aluzio,4/16/86
14856,Bernardinello,Bluma,11/26/86
14865,Serra,Ute,7/13/86
14888,Barriga,Temple,12/9/86
14898,Jakobus,Gurbir,6/16/86
14907,Luga,Nakhoon,12/18/86
14913,Fujisaki,Karlis,1/15/86
14918,Kaiserswerth,Kellie,11/18/86
14938,Mitina,King,4/30/86
14949,Reinhart,Insup,2/1/86
14953,Wallrath,Chinya,8/25/86
14965,Swiler,Gila,1/11/86
14966,Underwood,Zhanqiu,8/27/86
14969,Himler,Hongzue,1/3/86
14984,Parhami,Sangeeta,5/4/86
14989,Marzano,Shalesh,3/18/86
14994,Middleton,Mostafa,10/15/86
15005,Sadowsky,Kiam,5/23/86
15006,Cools,Miquel,1/8/86
15009,Figueira,Huican,8/3/86
15017,Thorelli,Xiaobin,6/12/86
15028,Mandell,Toney,4/22/86
15034,Hoogerwoord,Pranas,1/8/86
15038,Dalphin,Weidon,1/3/86
15045,Luby,Marco,5/14/86
15057,Azulay,Toshiko,10/18/86
15058,Bugrara,Bouchung,5/31/86
15068,Selvestrel,Sven,10/9/86
15073,Murthy,Make,4/30/86
15075,Rijsenbrij,Radoslaw,4/24/86
15077,Taubenfeld,Toshiki,7/19/86
15082,Zirintsis,Guadalupe,4/1/86
15090,Copas,Collette,5/18/86
15104,Rodite,Badri,6/13/86
15105,Itzigehl,Sudhanshu,6/9/86
15107,Heijenga,Morris,4/1/86
15114,Honglei,Pantung,12/21/86
15122,Chorvat,Make,3/28/86
15130,Puppo,Mohua,6/24/86
15134,Luiz,Arun,8/16/86
15141,Restivo,Takahito,6/30/86
15157,Ramras,Eckart,3/5/86
15167,Beznosov,Mani,5/21/86
15170,Bale,Mana,9/18/86
15172,Pagter,Rafols,6/20/86
15186,Birdsall,Kenroku,12/19/86
15196,Duclos,Souichi,7/31/86
15199,Bernardinello,Heeju,10/6/86
15202,Irland,Pranay,7/19/86
15213,Molenkamp,Arie,4/25/86
15225,Manderick,Susanna,5/25/86
15229,Acton,Xiahua,7/7/86
15230,Suessmith,Keiichiro,12/10/86
15232,Scharstein,Jordanka,7/1/86
15238,Vandervoorde,Arunas,6/12/86
15248,Baar,Edwin,2/4/86
15249,Pargaonkar,Guiseppe,1/23/86
15250,Fraisse,Abdelghani,5/27/86
15259,Schaft,Kauko,8/20/86
15269,Reghbati,Eric,8/21/86
15271,Bernardeschi,Shiv,12/5/86
15277,Chartres,Subir,12/16/86
15280,Heuter,Takushi,3/26/86
15285,Veeraraghavan,Yurii,1/3/86
15292,Lammel,Miyeon,7/31/86
15298,Azevdeo,Jungsoon,8/16/86
15325,Sadowsky,Maia,1/4/86
15326,Mersereau,Bogdan,9/26/86
15338,Wilfing,Caolyn,6/24/86
15364,Quittner,Sakthirel,7/7/86
15365,Schiettecatte,Mikhail,8/11/86
15370,Nilsson,Chuanyi,9/2/86
15377,Aumann,Shugo,12/19/86
15391,Bonifati,Cedric,2/8/86
15396,Erva,Marek,4/2/86
15407,Zultner,Magy,3/12/86
15415,Marquardt,Claudi,6/24/86
15416,Savasere,Toshiki,2/28/86
15423,Karlin,Gretta,11/18/86
15432,Simmen,Adib,4/16/86
15438,Munoz,Constantijn,12/24/86
15454,Cesareni,Hongzue,2/27/86
15458,Caine,Toshiko,10/17/86
15464,Glinert,Slavian,10/25/86
15469,Sadowski,Aksel,11/12/86
15470,Huhdanpaa,Weiwu,7/16/86
15471,Krybus,Olivera,7/3/86
15476,Langford,Zhaofang,9/28/86
15490,Renear,Guenter,3/15/86
15505,Mikschl,Collette,8/30/86
15528,Demos,Morrie,12/11/86
15544,Molenkamp,Wilmer,1/26/86
15565,Muchinsky,TRUE,12/16/86
15570,Pargaonkar,Mohua,6/18/86
15580,Kusalik,Stepehn,6/7/86
15590,Kaminger,Shuichi,9/26/86
15591,Sridhar,Vidya,10/25/86
15595,Waeselynck,Tru,4/29/86
15598,Kemmerer,Kristinn,10/7/86
15624,Codenie,Marit,3/15/86
15641,Roisin,Jaana,9/25/86
15673,Smailagic,Berni,3/9/86
15676,Rijckaert,Ziya,2/23/86
15687,Ambroszkiewicz,Dekang,12/9/86
15701,Prenel,Ult,12/28/86
15706,Koshiba,Gad,7/25/86
15714,Bala,Troy,6/24/86
15725,Petersohn,Shuichi,6/28/86
15728,Nooteboom,Jaewon,5/30/86
15750,Bresenham,Arumugam,11/29/86
15753,Breugel,Sanjay,4/22/86
15766,Osgood,Dhritiman,11/14/86
15769,Oskamp,Pranay,6/16/86
15777,Hambrick,Tran,9/29/86
15781,Gomatam,Rafail,8/31/86
15791,Wendorf,Conal,6/21/86
15800,Strandh,Kazunori,1/7/86
15810,Tiemann,Tesuro,8/26/86
15816,Gihr,Cedric,10/21/86
15831,Bridgland,Arno,3/20/86
15834,Simkin,Changho,6/14/86
15851,Beerel,Alper,11/27/86
15864,Bratsberg,Zorica,5/24/86
15866,Seiwald,Angel,10/3/86
15877,Kroll,Yannik,3/2/86
15880,Dechter,Miquel,1/30/86
15881,Luby,Ortrun,9/27/86
15886,Zuberek,Kish,12/9/86
15889,Azumi,Sasan,2/3/86
15892,Pettis,Lunjin,9/20/86
15911,Viele,Shaibal,6/10/86
15913,Mattern,Shigeaki,4/21/86
15917,Einsfeld,Jaroslava,3/12/86
15928,Feinberg,Bangqing,1/5/86
15937,Snyers,Steen,4/9/86
15942,Rosca,Murthy,9/9/86
15943,Demke,Yakkov,10/18/86
15945,Larfeldt,Hauke,11/15/86
15948,Versino,Karoline,1/14/86
15955,Dratva,Yuguang,3/31/86
15965,Braccini,Gudjon,3/24/86
15978,Wielonsky,Kaijung,11/14/86
15981,Daescu,Barna,10/6/86
15992,Baek,Niranjan,10/6/86
16003,Isard,Pranay,7/9/86
16007,Dalton,Premsyl,2/14/86
16011,Yoshizawa,Mohit,12/4/86
16029,Schicker,Zhilian,6/24/86
16033,Spelt,Wayne,7/14/86
16043,Hockney,Leni,11/4/86
16059,Rosch,Munehiro,7/19/86
